Target Distance: 100 , Step Size: 20 
1677: (x, y) = ( 9.98083, -0.618903 )
1678: (x, y) = ( 9.9339, -1.14785 )
1679: (x, y) = ( 8.14181, 5.80611 )
1680: (x, y) = ( 3.50797, -9.36451 )
1681: (x, y) = ( -6.46942, 7.62539 )
1682: (x, y) = ( 9.49678, 3.13229 )
1683: (x, y) = ( -6.99229, -7.14898 )
1684: (x, y) = ( 7.59668, 6.50311 )
1685: (x, y) = ( -7.42174, 6.70207 )
1686: (x, y) = ( 0.044257, -9.9999 )
1687: (x, y) = ( 5.62429, 8.26846 )
1688: (x, y) = ( 2.9211, 9.56385 )
1689: (x, y) = ( 1.4547, 9.89363 )
1690: (x, y) = ( 0.839594, 9.96469 )
1691: (x, y) = ( 1.1918, 9.92873 )
1692: (x, y) = ( -9.79361, 2.0212 )
1693: (x, y) = ( 8.57788, 5.14004 )
1694: (x, y) = ( 6.73507, -7.39181 )
1695: (x, y) = ( -8.03793, 5.94909 )
1696: (x, y) = ( -3.67291, -9.30106 )
1697: (x, y) = ( 8.14181, 5.80611 )
1698: (x, y) = ( -7.93136, 6.09044 )
1699: (x, y) = ( 3.59044, 9.33321 )
1700: (x, y) = ( 9.73649, -2.28052 )
1701: (x, y) = ( 7.93118, 6.09068 )
1702: (x, y) = ( -1.97814, 9.8024 )
1703: (x, y) = ( -5.9137, 8.06401 )
1704: (x, y) = ( 9.6017, -2.79415 )
1705: (x, y) = ( -0.0439555, -9.9999 )
1706: (x, y) = ( -8.57803, 5.13978 )
1707: (x, y) = ( 1.4547, 9.89363 )
1708: (x, y) = ( 8.99867, 4.36165 )
1709: (x, y) = ( -7.93136, 6.09044 )
1710: (x, y) = ( 3.7551, 9.26819 )
1711: (x, y) = ( -9.99021, -0.442427 )
1712: (x, y) = ( -9.60162, -2.79444 )
1713: (x, y) = ( 6.73507, -7.39181 )
1714: (x, y) = ( 6.66916, 7.45133 )
1715: (x, y) = ( -6.46942, 7.62539 )
1716: (x, y) = ( 7.24118, -6.89676 )
1717: (x, y) = ( -9.96829, -0.795786 )
1718: (x, y) = ( 5.84209, -8.11603 )
1719: (x, y) = ( 9.41037, -3.38305 )
1720: (x, y) = ( 1.1918, 9.92873 )
1721: (x, y) = ( 8.57788, 5.14004 )
1722: (x, y) = ( 3.34165, -9.42514 )
1723: (x, y) = ( -3.174, -9.48292 )
1724: (x, y) = ( 7.11796, -7.02386 )
1725: (x, y) = ( -4.71626, -8.81799 )
1726: (x, y) = ( -1.54222, -9.88036 )
1727: (x, y) = ( -1.54222, -9.88036 )
1728: (x, y) = ( -8.03793, 5.94909 )
1729: (x, y) = ( -0.0439555, -9.9999 )
1730: (x, y) = ( -9.60162, -2.79444 )
1731: (x, y) = ( 5.91345, 8.06418 )
1732: (x, y) = ( -2.06453, -9.78457 )
1733: (x, y) = ( -9.81106, -1.93473 )
1734: (x, y) = ( 6.92874, 7.21059 )
1735: (x, y) = ( -3.09023, 9.51055 )
1736: (x, y) = ( 8.39088, -5.43996 )
1737: (x, y) = ( -3.00564, -9.53762 )
1738: (x, y) = ( 5.62429, 8.26846 )
1739: (x, y) = ( -3.99985, -9.16522 )
1740: (x, y) = ( -1.54222, -9.88036 )
1741: (x, y) = ( 9.55074, 2.96369 )
1742: (x, y) = ( 3.59044, 9.33321 )
1743: (x, y) = ( 9.87344, -1.58593 )
1744: (x, y) = ( 5.32859, -8.46204 )
1745: (x, y) = ( 7.59668, 6.50311 )
1746: (x, y) = ( -4.87161, -8.73312 )
1747: (x, y) = ( 2.4954, 9.68364 )
1748: (x, y) = ( 9.64966, -2.62375 )
1749: (x, y) = ( -4.40116, -8.97941 )
1750: (x, y) = ( 5.62429, 8.26846 )
1751: (x, y) = ( 3.7551, 9.26819 )
1752: (x, y) = ( -9.79361, 2.0212 )
1753: (x, y) = ( -5.1777, -8.5552 )
1754: (x, y) = ( -4.55942, -8.90009 )
1755: (x, y) = ( 6.80001, 7.33211 )
1756: (x, y) = ( 7.17964, 6.9608 )
1757: (x, y) = ( 7.93118, 6.09068 )
1758: (x, y) = ( 3.7551, 9.26819 )
1759: (x, y) = ( 5.91345, 8.06418 )
1760: (x, y) = ( -2.06453, -9.78457 )
1761: (x, y) = ( -6.46942, 7.62539 )
1762: (x, y) = ( 8.95984, -4.44086 )
1763: (x, y) = ( 9.25136, 3.79636 )
1764: (x, y) = ( -4.24152, -9.05591 )
1765: (x, y) = ( 8.71147, -4.91022 )
1766: (x, y) = ( -6.46942, 7.62539 )
1767: (x, y) = ( -2.66672, 9.63787 )
1768: (x, y) = ( 0.132466, 9.99912 )
1769: (x, y) = ( 1.80401, 9.83593 )
1770: (x, y) = ( 0.928062, -9.95684 )
1771: (x, y) = ( -4.40116, -8.97941 )
1772: (x, y) = ( 9.37995, 3.46649 )
1773: (x, y) = ( -8.62304, -5.06392 )
1774: (x, y) = ( 6.19521, 7.8498 )
1775: (x, y) = ( 1.36737, 9.90607 )
1776: (x, y) = ( -8.14198, 5.80587 )
1777: (x, y) = ( -9.31722, 3.63171 )
1778: (x, y) = ( -9.25148, 3.79608 )
1779: (x, y) = ( 6.05528, 7.95824 )
1780: (x, y) = ( 4.40143, -8.97928 )
1781: (x, y) = ( 1.80401, 9.83593 )
1782: (x, y) = ( 9.73649, -2.28052 )
1783: (x, y) = ( 8.83863, 4.67745 )
1784: (x, y) = ( -4.71626, -8.81799 )
1785: (x, y) = ( -5.47729, 8.36656 )
1786: (x, y) = ( 5.17796, -8.55504 )
1787: (x, y) = ( -8.83877, 4.67719 )
1788: (x, y) = ( 1.01586, 9.94827 )
1789: (x, y) = ( -5.69726, -8.21835 )
1790: (x, y) = ( -1.62991, 9.86628 )
1791: (x, y) = ( 9.52422, -3.04782 )
1792: (x, y) = ( -1.891, -9.81958 )
1793: (x, y) = ( -6.46942, 7.62539 )
1794: (x, y) = ( -2.06453, -9.78457 )
1795: (x, y) = ( 7.93118, 6.09068 )
1796: (x, y) = ( 8.39088, -5.43996 )
1797: (x, y) = ( -8.4857, 5.29083 )
1798: (x, y) = ( -0.663369, 9.97797 )
1799: (x, y) = ( -9.97496, 0.707222 )
1800: (x, y) = ( -0.663369, 9.97797 )
1801: (x, y) = ( -5.69726, -8.21835 )
1802: (x, y) = ( 2.75192, -9.61389 )
1803: (x, y) = ( -4.0811, 9.12933 )
1804: (x, y) = ( 9.349, -3.5491 )
1805: (x, y) = ( -6.26444, -7.79466 )
1806: (x, y) = ( -4.94898, 8.68951 )
1807: (x, y) = ( 2.66643, 9.63795 )
1808: (x, y) = ( 0.486335, 9.98817 )
1809: (x, y) = ( 1.27994, -9.91775 )
1810: (x, y) = ( 9.9339, -1.14785 )
1811: (x, y) = ( -3.50769, -9.36462 )
1812: (x, y) = ( -9.94367, 1.05988 )
1813: (x, y) = ( 9.41037, -3.38305 )
1814: (x, y) = ( -8.03793, 5.94909 )
1815: (x, y) = ( 5.62429, 8.26846 )
1816: (x, y) = ( 8.92005, 4.52026 )
1817: (x, y) = ( 9.28471, -3.71404 )
1818: (x, y) = ( 8.43854, -5.36573 )
1819: (x, y) = ( -3.59072, 9.3331 )
1820: (x, y) = ( -2.92139, 9.56376 )
1821: (x, y) = ( 3.91857, 9.20026 )
1822: (x, y) = ( 9.73649, -2.28052 )
1823: (x, y) = ( 3.34165, -9.42514 )
1824: (x, y) = ( 4.48047, 8.9401 )
1825: (x, y) = ( -3.59072, 9.3331 )
1826: (x, y) = ( 8.39088, -5.43996 )
1827: (x, y) = ( -8.66767, 4.98713 )
1828: (x, y) = ( -5.77002, 8.16743 )
1829: (x, y) = ( -9.99961, -0.0885131 )
1830: (x, y) = ( 8.29327, -5.58764 )
1831: (x, y) = ( -7.76667, -6.29911 )
1832: (x, y) = ( 5.62429, 8.26846 )
1833: (x, y) = ( 3.59044, 9.33321 )
1834: (x, y) = ( -8.66767, 4.98713 )
1835: (x, y) = ( 9.69459, -2.45252 )
1836: (x, y) = ( 5.0257, -8.64536 )
1837: (x, y) = ( -0.0439555, -9.9999 )
1838: (x, y) = ( 2.83662, -9.58924 )
1839: (x, y) = ( -2.83633, -9.58933 )
1840: (x, y) = ( 5.98484, -8.01135 )
1841: (x, y) = ( 1.71717, -9.85146 )
1842: (x, y) = ( 7.65414, -6.43538 )
1843: (x, y) = ( -5.10203, 8.60054 )
1844: (x, y) = ( -1.71688, -9.85151 )
1845: (x, y) = ( -2.32388, 9.72623 )
1846: (x, y) = ( 4.40143, -8.97928 )
1847: (x, y) = ( -9.99961, -0.0885131 )
1848: (x, y) = ( 9.96085, 0.883987 )
1849: (x, y) = ( -1.10387, -9.93889 )
1850: (x, y) = ( 3.67319, -9.30095 )
1851: (x, y) = ( 9.28471, -3.71404 )
1852: (x, y) = ( -2.75163, -9.61397 )
1853: (x, y) = ( -8.14198, 5.80587 )
1854: (x, y) = ( -0.397908, -9.99208 )
1855: (x, y) = ( -9.98081, -0.619203 )
1856: (x, y) = ( -5.25348, 8.50888 )
1857: (x, y) = ( 6.19521, 7.8498 )
1858: (x, y) = ( 8.57788, 5.14004 )
1859: (x, y) = ( -7.7108, 6.36738 )
1860: (x, y) = ( -6.12548, -7.90433 )
1861: (x, y) = ( -4.48074, 8.93997 )
1862: (x, y) = ( 2.2377, -9.74642 )
1863: (x, y) = ( -5.1777, -8.5552 )
1864: (x, y) = ( -9.95264, -0.972119 )
1865: (x, y) = ( 2.9211, 9.56385 )
1866: (x, y) = ( -0.132767, 9.99912 )
1867: (x, y) = ( 6.53621, 7.56822 )
1868: (x, y) = ( -2.15135, 9.76584 )
1869: (x, y) = ( 9.55074, 2.96369 )
1870: (x, y) = ( 4.63802, 8.85939 )
1871: (x, y) = ( 6.53621, 7.56822 )
1872: (x, y) = ( 4.55969, -8.89996 )
1873: (x, y) = ( 9.25136, 3.79636 )
1874: (x, y) = ( 9.73649, -2.28052 )
1875: (x, y) = ( 4.48047, 8.9401 )
1876: (x, y) = ( 6.53621, 7.56822 )
1877: (x, y) = ( 2.2377, -9.74642 )
1878: (x, y) = ( 5.17796, -8.55504 )
1879: (x, y) = ( -9.94367, 1.05988 )
1880: (x, y) = ( -3.42495, 9.3952 )
1881: (x, y) = ( 9.91203, -1.32352 )
1882: (x, y) = ( -8.83877, 4.67719 )
1883: (x, y) = ( 9.97494, 0.707522 )
1884: (x, y) = ( 4.94872, 8.68966 )
1885: (x, y) = ( 9.57668, -2.87874 )
1886: (x, y) = ( -9.91199, -1.32382 )
1887: (x, y) = ( 6.66916, 7.45133 )
1888: (x, y) = ( 3.17429, -9.48282 )
1889: (x, y) = ( 9.28471, -3.71404 )
1890: (x, y) = ( -7.59688, 6.50288 )
1891: (x, y) = ( 8.92005, 4.52026 )
1892: (x, y) = ( 9.49678, 3.13229 )
1893: (x, y) = ( 3.17429, -9.48282 )
1894: (x, y) = ( -0.751361, -9.97173 )
1895: (x, y) = ( 3.42466, 9.3953 )
1896: (x, y) = ( -2.58102, -9.66118 )
1897: (x, y) = ( 9.98083, -0.618903 )
1898: (x, y) = ( 9.75623, 2.19455 )
1899: (x, y) = ( -7.24097, -6.89698 )
1900: (x, y) = ( -5.02544, -8.64551 )
1901: (x, y) = ( 9.99648, -0.26521 )
1902: (x, y) = ( -9.71592, 2.36661 )
1903: (x, y) = ( -9.98592, 0.530535 )
1904: (x, y) = ( 0.751662, -9.97171 )
1905: (x, y) = ( -8.92018, 4.51999 )
1906: (x, y) = ( -9.81106, -1.93473 )
1907: (x, y) = ( 1.1918, 9.92873 )
1908: (x, y) = ( 9.99961, -0.0882117 )
1909: (x, y) = ( 9.99648, -0.26521 )
1910: (x, y) = ( -2.23741, -9.74649 )
1911: (x, y) = ( 9.9859, 0.530836 )
1912: (x, y) = ( -7.98478, -6.02024 )
1913: (x, y) = ( 8.87983, -4.59877 )
1914: (x, y) = ( -5.9846, -8.01153 )
1915: (x, y) = ( -8.03793, 5.94909 )
1916: (x, y) = ( 2.4954, 9.68364 )
1917: (x, y) = ( -9.99961, -0.0885131 )
1918: (x, y) = ( -7.93136, 6.09044 )
1919: (x, y) = ( -6.40144, -7.68255 )
1920: (x, y) = ( 1.36737, 9.90607 )
1921: (x, y) = ( 2.06482, -9.7845 )
1922: (x, y) = ( -2.23741, -9.74649 )
1923: (x, y) = ( -1.8043, 9.83588 )
1924: (x, y) = ( 2.32359, 9.7263 )
1925: (x, y) = ( 0.663069, 9.97799 )
1926: (x, y) = ( -9.85902, 1.67326 )
1927: (x, y) = ( 8.79703, -4.75524 )
1928: (x, y) = ( 6.26468, -7.79447 )
1929: (x, y) = ( 10, 0 )
1930: (x, y) = ( -9.64958, -2.62404 )
1931: (x, y) = ( -7.59688, 6.50288 )
1932: (x, y) = ( 9.99648, -0.26521 )
1933: (x, y) = ( -6.73485, -7.39201 )
1934: (x, y) = ( 7.24118, -6.89676 )
1935: (x, y) = ( -7.53922, 6.56964 )
1936: (x, y) = ( -9.52413, -3.04811 )
1937: (x, y) = ( 9.71585, 2.36691 )
1938: (x, y) = ( -8.24348, 5.66083 )
1939: (x, y) = ( -0.132767, 9.99912 )
1940: (x, y) = ( -6.66938, 7.45113 )
1941: (x, y) = ( -0.220966, -9.99756 )
1942: (x, y) = ( 7.65414, -6.43538 )
1943: (x, y) = ( 6.92874, 7.21059 )
1944: (x, y) = ( 9.99843, 0.177019 )
1945: (x, y) = ( -9.73642, -2.28082 )
1946: (x, y) = ( 1.1918, 9.92873 )
1947: (x, y) = ( 2.32359, 9.7263 )
1948: (x, y) = ( 9.71585, 2.36691 )
1949: (x, y) = ( -0.30975, 9.9952 )
1950: (x, y) = ( 5.98484, -8.01135 )
1951: (x, y) = ( 7.87715, -6.1604 )
1952: (x, y) = ( 9.71585, 2.36691 )
1953: (x, y) = ( -6.05552, 7.95806 )
1954: (x, y) = ( 4.63802, 8.85939 )
1955: (x, y) = ( 7.24118, -6.89676 )
1956: (x, y) = ( -2.92139, 9.56376 )
1957: (x, y) = ( 6.46919, 7.62558 )
1958: (x, y) = ( -8.9988, 4.36138 )
1959: (x, y) = ( 5.62429, 8.26846 )
1960: (x, y) = ( 9.25136, 3.79636 )
1961: (x, y) = ( -4.55942, -8.90009 )
1962: (x, y) = ( -9.64958, -2.62404 )
1963: (x, y) = ( 0.751662, -9.97171 )
1964: (x, y) = ( 3.00593, -9.53753 )
1965: (x, y) = ( 8.5322, -5.21551 )
1966: (x, y) = ( -9.92335, 1.23573 )
1967: (x, y) = ( -5.77002, 8.16743 )
1968: (x, y) = ( -8.79689, -4.7555 )
1969: (x, y) = ( -9.96829, -0.795786 )
1970: (x, y) = ( 1.36737, 9.90607 )
1971: (x, y) = ( 7.93118, 6.09068 )
1972: (x, y) = ( 7.17964, 6.9608 )
1973: (x, y) = ( 7.42154, 6.70229 )
1974: (x, y) = ( 6.40167, -7.68235 )
1975: (x, y) = ( 7.0553, 7.0868 )
1976: (x, y) = ( -5.69726, -8.21835 )
1977: (x, y) = ( -1.891, -9.81958 )
1978: (x, y) = ( 7.0553, 7.0868 )
1979: (x, y) = ( 9.88705, 1.49877 )
1980: (x, y) = ( 6.66916, 7.45133 )
1981: (x, y) = ( 9.89997, -1.4109 )
1982: (x, y) = ( 8.83863, 4.67745 )
1983: (x, y) = ( -9.99647, -0.265512 )
1984: (x, y) = ( 9.75623, 2.19455 )
1985: (x, y) = ( 7.24118, -6.89676 )
1986: (x, y) = ( -9.64958, -2.62404 )
1987: (x, y) = ( 9.69459, -2.45252 )
1988: (x, y) = ( 9.94364, 1.06017 )
1989: (x, y) = ( -4.55942, -8.90009 )
1990: (x, y) = ( 9.91203, -1.32352 )
1991: (x, y) = ( 2.06482, -9.7845 )
1992: (x, y) = ( 6.53621, 7.56822 )
1993: (x, y) = ( 5.91345, 8.06418 )
After 1993 steps, the subject has the following location 
(x,y) = ( 400.36, 6.9664)
or 
(m, a) = (400.42, 0.996866 )
Average outward distance per step = 0.200913
